Time,semimajor
0.0,0.0003136021697745725
0.11538461538461539,0.00031125720663194507
0.23076923076923078,0.0003088585464928568
0.34615384615384615,0.00030640298956112445
0.46153846153846156,0.0003038873371483434
0.576923076923077,0.0003013080417340448
0.6923076923076923,0.00029866118303888627
0.8076923076923077,0.000295942555626033
0.9230769230769231,0.00029314732761887577
1.0384615384615385,0.00029027037900428393
1.153846153846154,0.00028730560227256696
1.2692307692307694,0.000284246856622796
1.3846153846153846,0.0002810863760176163
1.5,0.0002778163571165133
1.6153846153846154,0.0002744271119559861
1.7307692307692308,0.0002709080054857275
1.8461538461538463,0.0002672469039488468
1.9615384615384617,0.0002634297300218473
2.076923076923077,0.0002594395298826882
2.1923076923076925,0.00025525724198805416
2.307692307692308,0.0002508594015528772
2.4230769230769234,0.00024621838931571436
2.5384615384615388,0.00024129990945967672
2.653846153846154,0.00023606188260548886
2.769230769230769,0.00023045115706299632
2.8846153846153846,0.00022439933306193666
3.0,0.0002178152896200719
3.1153846153846154,0.0002105752496390911
3.230769230769231,0.00020250245102892156
3.3461538461538463,0.00019333154345628302
3.4615384615384617,0.00018263400297425684
3.576923076923077,0.0001696402081024414
3.6923076923076925,0.00015270979817643535
3.807692307692308,0.00012693259666221634
