# t_yr,a_AU,e,n_radyr,RL1_AU,RL2_AU,Ls1,Ls2,Jorb,Jtot,Omega1,Omega2,MB_saturated(super=1),super_synchronous(1),da_dt_AU_per_yr
8.347245409015025075e+01,6.998646106433870084e-02,9.987075545143624111e-02,4.799254888062142754e+02,2.651930610611284364e-02,2.651930610611284364e-02,2.911575049130130425e-04,2.542668482863068204e-04,1.169486332198516942e+00,1.170031756551716207e+00,1.346278178252349278e+02,1.175700105697520002e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.421404111291940448e-07
9.181969949916528151e+01,6.998355045445471545e-02,9.985210711127884275e-02,4.799554292076252864e+02,2.651820321630679947e-02,2.651820321630679947e-02,2.776545942142098549e-04,2.451248057040908944e-04,1.169464213308139211e+00,1.169986992708057505e+00,1.283842301759589759e+02,1.133428372270046935e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.486910641014499063e-07
1.001669449081803123e+02,6.998058957845819383e-02,9.983320550748688016e-02,4.799858898728556937e+02,2.651708127963933737e-02,2.651708127963933737e-02,2.658713333387673853e-04,2.369028318164363581e-04,1.169441703274645361e+00,1.169944477439800679e+00,1.229357884502331473e+02,1.095410928651628240e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.547129443832894661e-07
1.085141903171953288e+02,6.997759194817992912e-02,9.981444005549276743e-02,4.800167319382613869e+02,2.651594541602038044e-02,2.651594541602038044e-02,2.554716624967245334e-04,2.294566173794300023e-04,1.169418869038507447e+00,1.169903797318383676e+00,1.181271025398931442e+02,1.060980505811852055e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.591161073361135943e-07
1.168614357262103596e+02,6.997455567916148478e-02,9.979531271997703346e-02,4.800479749178152247e+02,2.651479491138997516e-02,2.651479491138997516e-02,2.462038610222501487e-04,2.226709620975535426e-04,1.169395753547770367e+00,1.169864628370890225e+00,1.138417797592945533e+02,1.029604431086035277e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.637450284096314080e-07
1.252086811352253761e+02,6.997148407325665120e-02,9.977597158529444288e-02,4.800795849600172573e+02,2.651363101688825399e-02,2.651363101688825399e-02,2.378763986738738183e-04,2.164535927420171404e-04,1.169372366890994108e+00,1.169826696882410033e+00,1.099912587695688870e+02,1.000856043878931416e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.679783873990625420e-07
1.335559265442404069e+02,6.996838450742906557e-02,9.975664693584752885e-02,4.801114862558581535e+02,2.651245652779811099e-02,2.651245652779811099e-02,2.303406190410372287e-04,2.107296118182807113e-04,1.169348743541685387e+00,1.169789813772544873e+00,1.065068025887682523e+02,9.743890269539809879e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.713279861447591255e-07
1.419031719532554234e+02,6.996525926062303891e-02,9.973728694340328049e-02,4.801436554422646168e+02,2.651127230765830400e-02,2.651127230765830400e-02,2.234786605477971145e-04,2.054371286183999390e-04,1.169324908633355253e+00,1.169753824422521404e+00,1.033339134055467667e+02,9.499172049314114474e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.744045673619942613e-07
1.502504173622704684e+02,6.996211030452328949e-02,9.971787003663068472e-02,4.801760723097420396e+02,2.651007910358062561e-02,2.651007910358062561e-02,2.171954447940624454e-04,2.005242840300718347e-04,1.169300881164839101e+00,1.169718600893663307e+00,1.004286280820475241e+02,9.272007873539655520e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.772449407499785704e-07
1.585976627712854850e+02,6.995893865791395771e-02,9.969834621060480462e-02,4.802087264516233063e+02,2.650887730160330497e-02,2.650887730160330497e-02,2.114140864433604371e-04,1.959478751814881250e-04,1.169276675518882591e+00,1.169684037480507310e+00,9.775539573980290697e+01,9.060400092058978316e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.799632637979475999e-07
1.669449081803005015e+02,6.995574553981884214e-02,9.967870231698815198e-02,4.802416053951487811e+02,2.650766736363945053e-02,2.650766736363945053e-02,2.060710472978615360e-04,1.916710951374496236e-04,1.169252303408432780e+00,1.169650045550868045e+00,9.528483706082181470e+01,8.862646795327219706e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.825355477948464826e-07
1.752921535893155465e+02,6.995253245783719653e-02,9.965894952460023493e-02,4.802746936904644031e+02,2.650644986094936872e-02,2.650644986094936872e-02,2.011136166735275608e-04,1.876626261744006677e-04,1.169227776095680627e+00,1.169616552338528459e+00,9.299257924258878916e+01,8.677299888512403925e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.849272214011424928e-07
1.836393989983305630e+02,6.994930074181782143e-02,9.963908602560572758e-02,4.803079777118608149e+02,2.650522529744004513e-02,2.650522529744004513e-02,1.964976728453532581e-04,1.838956489366642250e-04,1.169203104886481492e+00,1.169583498208263572e+00,9.085822091658022259e+01,8.503119276041053354e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.871595791211383528e-07
1.919866444073455796e+02,6.994605221757436986e-02,9.961914512157479806e-02,4.803414387188066144e+02,2.650399436494974351e-02,2.650399436494974351e-02,1.921854835578373983e-04,1.803466470475612396e-04,1.169178301102360207e+00,1.169550833232965603e+00,8.886431513008484728e+01,8.339017588217372179e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.891732043654981171e-07
2.003338898163606245e+02,6.994278887183918991e-02,9.959918838497293370e-02,4.803750563045799140e+02,2.650275781629211555e-02,2.650275781629211555e-02,1.881453317194075529e-04,1.769955449170982557e-04,1.169153374089730191e+00,1.169518514966366718e+00,8.699619627169263936e+01,8.184066553289210333e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.909488190745565225e-07
2.086811352253756411e+02,6.993951192177703946e-02,9.957924883090636670e-02,4.804088179823401674e+02,2.650151611267585749e-02,2.650151611267585749e-02,1.843496979150412358e-04,1.738245505446392501e-04,1.169128330128992310e+00,1.169486504377452052e+00,8.524113968643237627e+01,8.037443489999876078e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.925786174456245610e-07
2.170283806343906576e+02,6.993622261037248100e-02,9.955940709093329122e-02,4.804427109935425051e+02,2.650026972509332904e-02,2.650026972509332904e-02,1.807749733057880445e-04,1.708181727369401386e-04,1.169103170123046986e+00,1.169454763269089703e+00,8.358822892387550496e+01,7.898432103729868459e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.940595062661037955e-07
